Location,Cross_Street,Latitude,Longitude,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Year_Reported,Year_Occurred,Month_Reported,Month_Occurred,Day_Reported,Day_Occurred
11800 W  OLYMPIC                      BL,,34.033,-118.4504,1200.0,8.0,West LA,881.0,1.0,1822 0344 1607 0358,0.0,Unknown,X,120.0,STORAGE SHED,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,17,6
800 N  CROFT                        AV,,34.0854,-118.3742,2300.0,7.0,Wilshire,701.0,1.0,0344 1606 1402 0314,61.0,M,A,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,3,3,2,2
4800    VAN NUYS                     BL,,34.158,-118.4487,1145.0,9.0,Van Nuys,964.0,1.0,0325 2004 1420 1414,63.0,M,O,301.0,GAS STATION,0.0,No Weapon,AA,Adult Arrest,2020,2020,9,9,23,23
2300 S  RIDGELEY                     DR,,34.0376,-118.3598,2130.0,7.0,Wilshire,783.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,25,24
300 E  120TH                        ST,,33.9237,-118.2696,1230.0,18.0,Southeast,1863.0,2.0,2000 0448 0416 0444 0913 0400 1814 2002,37.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,8,8,23,23
4000 S  PACIFIC                      AV,,33.7136,-118.2904,1430.0,5.0,Harbor,587.0,1.0,1602 1300 0385,26.0,F,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,7,6
400 E  5TH                          ST,,34.0453,-118.2443,1730.0,1.0,Central,147.0,2.0,0421 1822,54.0,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AO,Adult Other,2020,2020,6,6,10,10
GRAPE                        ST,114TH                        ST,33.9315,-118.2363,100.0,18.0,Southeast,1849.0,1.0,1822 0329 1300 0344 1302 1307 1609,33.0,M,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2020,2020,10,10,31,31
4900    EAGLE ROCK                   BL,,34.1351,-118.2153,1740.0,11.0,Northeast,1115.0,1.0,0344 0104 1300,0.0,Unknown,X,203.0,OTHER BUSINESS,0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,2,1
10500    EASTBORNE                    AV,,34.0554,-118.4292,1300.0,8.0,West LA,834.0,1.0,Unknown,0.0,,Unknown,707.0,GARAGE/CARPORT,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,14,12
1400 W  3RD                          ST,,34.0583,-118.2616,840.0,2.0,Rampart,248.0,1.0,1822 0329 0344 1607 1601,30.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,21,21
14800    MAGNOLIA                     BL,,34.1684,-118.4586,1800.0,9.0,Van Nuys,952.0,1.0,2000 1419 1243 0429 1402 0913,28.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,7,7,21,20
1700    BEVERLY                      BL,,34.0647,-118.2657,1420.0,2.0,Rampart,236.0,2.0,0416 0446 1822 0202,51.0,M,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,3,3,22,22
6500 S  FIGUEROA                     ST,,33.9806,-118.2827,1045.0,12.0,77th Street,1249.0,1.0,0329,34.0,M,B,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2022,2020,4,3,6,11
15400    CHASE                        ST,,34.2247,-118.4677,1000.0,19.0,Mission,1981.0,1.0,1822 0421 0906 0447,43.0,M,H,101.0,STREET,212.0,BOTTLE,AO,Adult Other,2020,2020,6,6,12,12
3500    ATLANTIC                     ST,,34.0234,-118.1999,100.0,4.0,Hollenbeck,479.0,2.0,0913 1906,35.0,F,H,504.0,OTHER RESIDENCE,0.0,No Weapon,AO,Adult Other,2020,2020,5,5,14,13
17100    VANOWEN                      ST,,34.1939,-118.5055,1236.0,10.0,West Valley,1037.0,2.0,0416 0305 1258 0419 0429 0342,12.0,F,H,720.0,JUNIOR HIGH SCHOOL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,1,1,31,30
1900 W  64TH                         ST,,33.9814,-118.3111,1830.0,12.0,77th Street,1243.0,2.0,0329,55.0,M,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,5,5,31,31
4200    VAN BUREN                    PL,,34.0069,-118.297,1300.0,3.0,Southwest,397.0,1.0,0329 0344 1300 1605 1822 0385,29.0,F,B,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,29,28
600 W  11TH                         ST,,33.7342,-118.2924,2100.0,5.0,Harbor,563.0,2.0,0913 0416 2000 1814,22.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,9,9,9,8
NORMANDIE                    AV,41ST                         ST,34.0091,-118.3002,1200.0,3.0,Southwest,397.0,1.0,0913 2000 1814 0329 1309 0338,23.0,F,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,4,4
14300 W  SUNSET                       BL,,34.0494,-118.5118,1245.0,8.0,West LA,824.0,2.0,0100 1202,62.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,9,5,23,19
23800    GILMORE                      ST,,34.1868,-118.6484,1530.0,21.0,Topanga,2141.0,2.0,0444 0356 0603 0447 0443 0422,56.0,F,O,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,2020,2020,9,9,17,17
STAGG,LANKERSHIM,34.2121,-118.3878,720.0,16.0,Foothill,1684.0,2.0,0913 0416 0446 1601,57.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,4,4,21,21
10500    SANTA MONICA                 BL,,34.0554,-118.4266,905.0,8.0,West LA,836.0,1.0,0344 0346,59.0,F,W,707.0,GARAGE/CARPORT,0.0,No Weapon,IC,Invest Cont,2020,2020,4,3,2,27
5000    BORLAND                      RD,,34.0689,-118.1744,2200.0,4.0,Hollenbeck,439.0,1.0,1202 1300 0344,71.0,F,O,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,8,7
5TH                          ST,SEATON                       ST,34.0415,-118.2374,2030.0,1.0,Central,159.0,1.0,2032 0344 1822,48.0,F,W,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,3,2
600 N  WILTON                       PL,,34.0799,-118.3181,1500.0,20.0,Olympic,2001.0,1.0,0913 1817 0344 0337 1300 0377,52.0,M,B,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,8,8,19,8
400 S  SHERBOURNE                   DR,,34.0722,-118.3795,1400.0,7.0,Wilshire,721.0,1.0,Unknown,40.0,M,O,504.0,OTHER RESIDENCE,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,9,4
5400 W  SUNSET                       BL,,34.1,-118.3113,1450.0,6.0,Hollywood,648.0,2.0,0400 0432 0421 1822,40.0,M,B,403.0,DRUG STORE,511.0,VERBAL THREAT,IC,Invest Cont,2020,2020,8,8,28,28
1600 W  CARSON                       ST,,33.8315,-118.3065,1625.0,5.0,Harbor,506.0,2.0,1300 0329,63.0,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,8,8
MAIN                         ST,91ST                         ST,33.9538,-118.2739,1230.0,18.0,Southeast,1802.0,1.0,0913 0906 2000 1243 1814 1311 0408,35.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,1,1,16,16
E  28TH                         ST,S  CENTRAL                      AV,34.0168,-118.2558,1830.0,13.0,Newton,1325.0,1.0,0344,35.0,M,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,11,11,11,8
12700    GOETHE                       PL,,34.3015,-118.5108,2000.0,17.0,Devonshire,1707.0,2.0,1402 1501 1202 1300 1822,70.0,F,O,121.0,YARD (RESIDENTIAL/BUSINESS),0.0,No Weapon,AO,Adult Other,2020,2020,11,11,5,4
11400    CROESUS                      AV,,33.9315,-118.2335,1230.0,18.0,Southeast,1849.0,2.0,0432 0913 1912 2040 0421,26.0,F,B,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,2020,2020,4,4,6,5
1400 W  CARSON                       ST,,33.8315,-118.3021,2130.0,5.0,Harbor,506.0,1.0,0325 1236 0344,0.0,Unknown,X,247.0,CAR WASH,0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,3,2
100    CATAMARAN                    ST,,33.9781,-118.4644,2300.0,14.0,Pacific,1452.0,2.0,0329,30.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,11,11,17,16
700 S  FLOWER                       ST,,34.0487,-118.2588,1045.0,1.0,Central,162.0,2.0,2004 1501,37.0,M,H,404.0,DEPARTMENT STORE,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,28,28
4900    LOUISE                       AV,,34.1586,-118.5098,1455.0,10.0,West Valley,1077.0,2.0,1501 1822 2004,59.0,F,W,504.0,OTHER RESIDENCE,0.0,No Weapon,AA,Adult Arrest,2020,2020,10,10,19,18
800 N  ALAMEDA                      ST,,34.0561,-118.2375,720.0,1.0,Central,119.0,2.0,0910 1212 0416 2004 0319 2003,0.0,Unknown,X,900.0,MTA - RED LINE - UNION STATION,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,2020,2020,5,5,13,13
300 S  BOYLSTON                     ST,,34.0568,-118.2578,900.0,2.0,Rampart,249.0,1.0,0344 1607 1402,19.0,Unknown,X,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,23,16
5900    RESEDA                       BL,,34.1769,-118.5384,1102.0,10.0,West Valley,1043.0,1.0,0913 0361 0394 1420,30.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,8,8,8,3
84TH,MAIN,33.9624,-118.2739,400.0,12.0,77th Street,1268.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,8,8,28,27
19100 S  VERMONT                      AV,,33.8524,-118.2924,1720.0,5.0,Harbor,505.0,2.0,1266 0421 1822,48.0,F,W,203.0,OTHER BUSINESS,511.0,VERBAL THREAT,IC,Invest Cont,2020,2020,9,9,22,22
2600    BUCKINGHAM                   RD,,34.0326,-118.3405,800.0,3.0,Southwest,333.0,2.0,0931 1822,64.0,F,B,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,AA,Adult Arrest,2021,2020,3,12,15,24
1300 W  MARTIN LUTHER KING JR        BL,,34.0109,-118.298,730.0,3.0,Southwest,397.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,11,11,28,28
400    OCEAN FRONT WALK,,33.9933,-118.4765,200.0,14.0,Pacific,1412.0,1.0,2033 1268 2004 1218 0344,0.0,F,W,117.0,BEACH,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,11,11,6,6
4600    AUGUST                       ST,,34.0168,-118.3492,2100.0,3.0,Southwest,362.0,2.0,2000 1813 0913 0448 0408,35.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,8,7,6,17
17800    LASSEN                       ST,,34.2504,-118.5218,520.0,17.0,Devonshire,1787.0,2.0,0329 2000 1814 0913 0416 1601,28.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,2020,2020,9,9,12,12
200 W  6TH                          ST,,33.7387,-118.2814,1300.0,5.0,Harbor,564.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,AA,Adult Arrest,2020,2020,7,5,21,23
100 E  8TH                          ST,,34.0423,-118.2527,1040.0,1.0,Central,174.0,2.0,0329,0.0,M,O,702.0,OFFICE BUILDING/OFFICE,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,2,2
8500    BEVERLY                      BL,,34.0761,-118.3766,800.0,7.0,Wilshire,721.0,1.0,0344 1300,30.0,F,W,416.0,THE BEVERLY CENTER,0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,10,10
VERMONT,CENTURY                      FY,33.9289,-118.2916,1050.0,18.0,Southeast,1861.0,2.0,0400 0416 1822,27.0,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,3,3,16,16
1600    WESTMORELAND                 BL,,34.0436,-118.3065,1200.0,20.0,Olympic,2083.0,2.0,1243 2003 1813 2000,20.0,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,1,1,24,24
MALABAR                      ST,SOTO                         ST,34.0512,-118.2093,2200.0,4.0,Hollenbeck,455.0,1.0,1814 0344 0400 0913,28.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,2020,2020,7,7,2,2
16600    DEVONSHIRE                   ST,,34.2575,-118.494,500.0,17.0,Devonshire,1757.0,1.0,0344 1300 1822 1501,44.0,F,H,123.0,PARKING UNDERGROUND/BUILDING,0.0,No Weapon,IC,Invest Cont,2020,2020,12,11,14,17
12000    OSBORNE                      ST,,34.2736,-118.3938,1630.0,16.0,Foothill,1634.0,2.0,1822 0329,0.0,M,O,710.0,OTHER PREMISE,0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,8,6
1300    LONDONDERRY                  PL,,34.0959,-118.3805,2100.0,6.0,Hollywood,632.0,2.0,1501 0913,0.0,Unknown,X,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,11,11,7,7
300 E  WASHINGTON                   BL,,34.03,-118.2625,2315.0,13.0,Newton,1321.0,1.0,0408 0334 0416 0913,40.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200.0,KNIFE WITH BLADE 6INCHES OR LESS,AO,Adult Other,2020,2020,5,5,15,14
700 S  NEW HAMPSHIRE                AV,,34.0598,-118.2929,2200.0,20.0,Olympic,2036.0,1.0,1221 0352 0344 1607 0358,33.0,F,O,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,5,1,28,24
11200 W  OLYMPIC                      BL,,34.0363,-118.4446,1400.0,8.0,West LA,882.0,1.0,0325 0344 0378 0352 1221 1822,0.0,Unknown,X,404.0,DEPARTMENT STORE,0.0,No Weapon,AA,Adult Arrest,2020,2020,1,1,30,27
2000 W  6TH                          ST,,34.0591,-118.2739,1.0,2.0,Rampart,246.0,1.0,1822 0329 0344 0385,57.0,M,H,123.0,PARKING UNDERGROUND/BUILDING,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,11,10
6100    10TH                         AV,,33.9837,-118.3279,1630.0,12.0,77th Street,1241.0,1.0,0913 1309 0416 0448,61.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2021,2020,12,12,19,19
1000 W  10TH                         ST,,33.7352,-118.299,307.0,5.0,Harbor,563.0,1.0,1309 1302 0342 0358 0329 0326 1601,43.0,M,W,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,21,14
13600    PAXTON                       ST,,34.272,-118.4284,1200.0,16.0,Foothill,1622.0,2.0,1822 0377 0928,41.0,M,H,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,29,23
3200    LARGA                        AV,,34.1123,-118.2536,1200.0,11.0,Northeast,1133.0,2.0,0923 1822,84.0,M,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,22,13
5800 W  SUNSET                       BL,,34.0981,-118.3158,1900.0,6.0,Hollywood,667.0,2.0,0913 0400 0432 0443 0422 2040 1202,62.0,M,W,702.0,OFFICE BUILDING/OFFICE,511.0,VERBAL THREAT,AO,Adult Other,2020,2020,10,10,26,26
4TH,CUMMINGS,34.0428,-118.2167,2230.0,4.0,Hollenbeck,463.0,1.0,0400 0416 1218 0913 2004,45.0,M,H,102.0,SIDEWALK,212.0,BOTTLE,IC,Invest Cont,2020,2020,7,7,13,13
1900 N  HIGHLAND                     AV,,34.1052,-118.3375,1200.0,6.0,Hollywood,625.0,1.0,1300 1601 1606 0344 0352,23.0,M,O,123.0,PARKING UNDERGROUND/BUILDING,0.0,No Weapon,IC,Invest Cont,2020,2020,5,4,15,28
SHERMAN                      WY,CANOGA                       AV,34.201,-118.5977,1630.0,21.0,Topanga,2146.0,2.0,0329,18.0,M,W,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,16,15
2800    CRENSHAW                     BL,,34.0278,-118.3378,1800.0,3.0,Southwest,333.0,1.0,0104 0325 1822 0346 0378 1309,19.0,Unknown,X,409.0,BEAUTY SUPPLY STORE,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,24,24
900 W  OLYMPIC                      BL,,34.0454,-118.2657,155.0,1.0,Central,171.0,2.0,1414 1822 0417,30.0,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,3,3,8,8
300 S  ST ANDREWS                   PL,,34.0655,-118.3114,1230.0,20.0,Olympic,2022.0,1.0,1402 1822 0344 1307 1609,0.0,Unknown,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,9,9,14,12
1900 W  78TH                         ST,,33.9691,-118.3112,1700.0,12.0,77th Street,1253.0,1.0,0344 0385 1612,45.0,M,B,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,4,3
500    WILMINGTON                   BL,,33.7749,-118.2764,1120.0,5.0,Harbor,524.0,1.0,2024 0416 0334 0360 0602 0401 0913,57.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207.0,OTHER KNIFE,JA,Juv Arrest,2020,2020,3,3,2,2
4100 W  SLAUSON                      AV,,33.9889,-118.3467,120.0,12.0,77th Street,1231.0,2.0,2000 1814 0913 0448 0443,44.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,5,5,14,14
1000 S  WESTGATE                     AV,,34.0493,-118.4666,2000.0,8.0,West LA,832.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,16,15
WILSHIRE,WESTWOOD,34.0588,-118.4439,1700.0,8.0,West LA,817.0,2.0,0416 0910 1822 1420,40.0,F,O,124.0,BUS STOP,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,1,1,24,24
1000 E  43RD                         ST,,34.0057,-118.2581,2200.0,13.0,Newton,1353.0,2.0,0527 1259 0940 0533 0913,16.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,2022,2020,1,12,26,25
16TH                         ST,CENTRAL                      AV,34.0266,-118.2491,1908.0,13.0,Newton,1313.0,1.0,1822 1402 1310 1100 1309 0906,40.0,F,O,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,2020,2020,11,11,11,11
2400 S  CAROLINA                     ST,,33.7212,-118.2909,1600.0,5.0,Harbor,587.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,8,8,26,21
BELLAIRE                     AV,RAYMER                       ST,34.2037,-118.4094,930.0,15.0,N Hollywood,1513.0,2.0,0397,0.0,M,W,221.0,PUBLIC STORAGE,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,18,18
2500    LOMBARDY                     BL,,34.0759,-118.1738,1200.0,4.0,Hollenbeck,438.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,JO,Juv Other,2020,2020,1,1,3,2
10000    OLD DEPOT PLAZA              RD,,34.25,-118.599,515.0,17.0,Devonshire,1751.0,2.0,0329 0910 1609,0.0,Unknown,X,215.0,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,30,30
SLAUSON                      AV,WESTERN                      AV,33.9892,-118.3089,1940.0,12.0,77th Street,1213.0,2.0,0400 0447 1822 0910,54.0,F,B,801.0,MTA BUS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2020,2020,11,11,7,7
800    TRACTION                     AV,,34.0447,-118.2349,2200.0,1.0,Central,139.0,1.0,1307 0329 1822 1609 0344,31.0,F,W,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,27,26
5600    VIRGINIA                     AV,,34.0918,-118.3119,1200.0,6.0,Hollywood,668.0,2.0,1822 1501,24.0,F,I,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2021,2020,3,12,3,13
10200    ENCINO                       AV,,34.2556,-118.5155,200.0,17.0,Devonshire,1756.0,1.0,0913 0603 0344,28.0,M,O,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,6,6
5200    COLDWATER CANYON             AV,,34.1649,-118.4138,1400.0,9.0,Van Nuys,969.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,8,8,31,29
100 S  HAYWORTH                     AV,,34.0721,-118.3626,1510.0,7.0,Wilshire,723.0,2.0,1501,30.0,F,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2021,2020,5,5,18,21
100 E  67TH                         ST,,33.9788,-118.2739,2000.0,13.0,Newton,1394.0,1.0,0913 2000 0432 1241 0411,49.0,M,H,121.0,YARD (RESIDENTIAL/BUSINESS),205.0,KITCHEN KNIFE,IC,Invest Cont,2020,2020,10,10,11,11
10100    AMBOY                        AV,,34.2548,-118.425,2005.0,16.0,Foothill,1641.0,2.0,0913 0416 1601 1202,37.0,F,H,501.0,SINGLE FAMILY DWELLING,305.0,FIXED OBJECT,AO,Adult Other,2020,2020,1,1,17,17
3500 W  6TH                          ST,,34.0636,-118.2992,845.0,20.0,Olympic,2027.0,2.0,1822 0329 1307,0.0,Unknown,X,203.0,OTHER BUSINESS,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,16,14
1300 N  BRONSON                      AV,,34.0944,-118.318,1140.0,6.0,Hollywood,667.0,2.0,1822 0400 0416 1259,14.0,M,H,720.0,JUNIOR HIGH SCHOOL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2022,2020,6,3,8,12
6TH                          ST,LOS ANGELES                  ST,34.0446,-118.249,2030.0,1.0,Central,164.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,28,27
3400    FLETCHER                     DR,,34.1186,-118.2404,2030.0,11.0,Northeast,1124.0,1.0,1606 0344,34.0,F,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,12,11
