,Location,Cross_Street,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description
17442,1300 E  58TH                         ST,,33.9902,-118.2521,02/01/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1730.0,13.0,Newton,1375.0,2.0,0416 0913,39.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
18736,6300    WOODMAN                      AV,,34.1836,-118.4355,10/21/2020 12:00:00 AM,10/20/2020 12:00:00 AM,1930.0,9.0,Van Nuys,937.0,1.0,0344 1300,29.0,M,H,108.0,PARKING LOT,,,IC,Invest Cont
1908,1600 N  HOBART                       BL,,34.1,-118.3056,03/24/2020 12:00:00 AM,03/20/2020 12:00:00 AM,1500.0,6.0,Hollywood,649.0,1.0,0358 0344 1300 1202 1822,54.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont
14714,600    SANTA CLARA                  AV,,33.9924,-118.4665,06/24/2020 12:00:00 AM,06/24/2020 12:00:00 AM,1300.0,14.0,Pacific,1414.0,1.0,1606,0.0,X,X,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
11227,1200 W  DON                          ST,,33.7976,-118.2799,06/24/2020 12:00:00 AM,06/24/2020 12:00:00 AM,805.0,5.0,Harbor,514.0,2.0,2038 0913 2000 0345 0216 2004 1814,31.0,F,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest
11907,7400    LA TIJERA                    BL,,33.9733,-118.3878,11/05/2020 12:00:00 AM,10/01/2020 12:00:00 AM,1555.0,14.0,Pacific,1467.0,2.0,1501,31.0,M,B,605.0,AUTOMATED TELLER MACHINE (ATM),,,IC,Invest Cont
14719,2700    JAMES M WOOD                 BL,,34.0559,-118.2867,02/28/2020 12:00:00 AM,02/28/2020 12:00:00 AM,1000.0,20.0,Olympic,2049.0,2.0,1906 1822 0112 0355 0432,40.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont
12629,100 E  99TH                         ST,,33.9465,-118.2739,08/20/2020 12:00:00 AM,08/20/2020 12:00:00 AM,407.0,18.0,Southeast,1822.0,2.0,0913 0562 2004 2038,45.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
16606,14900    AZTEC                        ST,,34.287,-118.4558,02/18/2020 12:00:00 AM,02/17/2020 12:00:00 AM,1250.0,19.0,Mission,1924.0,2.0,0400,41.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other
447,KESTER                       AV,MAGNOLIA                     BL,34.1649,-118.4574,06/15/2020 12:00:00 AM,06/09/2020 12:00:00 AM,1025.0,9.0,Van Nuys,963.0,1.0,0394 0344,35.0,F,W,119.0,"PORCH, RESIDENTIAL",,,IC,Invest Cont
14681,7700    FOOTHILL                     BL,,34.2567,-118.3002,07/08/2021 12:00:00 AM,03/15/2020 12:00:00 AM,2300.0,16.0,Foothill,1656.0,2.0,0913 0533,16.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont
6259,13600 W  RIVERSIDE                    DR,,34.1576,-118.4293,08/14/2020 12:00:00 AM,06/25/2020 12:00:00 AM,1125.0,9.0,Van Nuys,966.0,1.0,0344 0394,28.0,F,W,119.0,"PORCH, RESIDENTIAL",,,IC,Invest Cont
1999,1800    CENTURY PARK,,34.0591,-118.4213,06/09/2020 12:00:00 AM,05/30/2020 12:00:00 AM,929.0,8.0,West LA,839.0,1.0,0358 1609 1822,0.0,X,X,602.0,BANK,,,IC,Invest Cont
11662,14200    VAN NUYS                     BL,,34.2506,-118.4433,10/10/2020 12:00:00 AM,10/10/2020 12:00:00 AM,300.0,19.0,Mission,1958.0,1.0,0344,45.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont
16781,9900 S  MAIN                         ST,,33.9462,-118.2739,11/24/2020 12:00:00 AM,11/24/2020 12:00:00 AM,600.0,18.0,Southeast,1822.0,1.0,0325 0100 1822 2004,0.0,X,X,401.0,MINI-MART,,,IC,Invest Cont
9157,WILLOUGHBY                   AV,CITRUS,34.0871,-118.3397,08/05/2020 12:00:00 AM,08/05/2020 12:00:00 AM,2320.0,7.0,Wilshire,706.0,2.0,1310 0553 1251 1258 1257 1309,6.0,M,H,101.0,STREET,,,AA,Adult Arrest
16447,4600    ENCINO                       AV,,34.1544,-118.5134,02/19/2021 12:00:00 AM,11/07/2020 12:00:00 AM,1100.0,10.0,West Valley,1097.0,2.0,1822 0930,55.0,M,W,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont
433,3300    SABINA                       ST,,34.0302,-118.2006,02/06/2020 12:00:00 AM,02/05/2020 12:00:00 AM,1000.0,4.0,Hollenbeck,478.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
5042,13900    AUBREY                       RD,,34.1377,-118.4371,12/27/2020 12:00:00 AM,12/26/2020 12:00:00 AM,1200.0,9.0,Van Nuys,994.0,1.0,1609 0344 0389 0358 0352 0321 1414 1420,52.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
5394,1700 N  HUDSON                       AV,,34.1016,-118.3321,10/25/2020 12:00:00 AM,10/24/2020 12:00:00 AM,2230.0,6.0,Hollywood,636.0,1.0,1402 0400 1100 0429 1409 1407 0344 0352 1822 0430,41.0,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,AO,Adult Other
10013,4700    NORELLE                      ST,,34.0721,-118.183,11/13/2020 12:00:00 AM,11/13/2020 12:00:00 AM,700.0,4.0,Hollenbeck,437.0,2.0,0329,46.0,M,W,101.0,STREET,,,IC,Invest Cont
3519,GRAND                        AV,82ND                         ST,33.9651,-118.2803,06/23/2020 12:00:00 AM,06/23/2020 12:00:00 AM,1100.0,12.0,77th Street,1266.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
177,1500    5TH                          AV,,34.0436,-118.3225,12/14/2020 12:00:00 AM,12/13/2020 12:00:00 AM,1900.0,7.0,Wilshire,769.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
15910,5000 S  VERMONT                      AV,,33.9978,-118.2915,05/07/2020 12:00:00 AM,05/06/2020 12:00:00 AM,1130.0,12.0,77th Street,1207.0,1.0,0344 1822,46.0,M,O,101.0,STREET,,,IC,Invest Cont
14407,10100    RINCON                       AV,,34.2535,-118.4249,05/03/2020 12:00:00 AM,05/03/2020 12:00:00 AM,1024.0,16.0,Foothill,1641.0,2.0,0416 1218 0913,41.0,M,H,103.0,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
2653,3000    SAN MARINO                   ST,,34.0545,-118.2944,12/01/2020 12:00:00 AM,11/30/2020 12:00:00 AM,2130.0,20.0,Olympic,2056.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
9854,6700    CLEON                        AV,,34.1922,-118.3681,02/14/2020 12:00:00 AM,01/31/2020 12:00:00 AM,1200.0,15.0,N Hollywood,1519.0,1.0,,0.0,,,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont
16787,6300 S  VICTORIA                     AV,,33.9806,-118.3323,12/03/2020 12:00:00 AM,12/03/2020 12:00:00 AM,920.0,12.0,77th Street,1241.0,1.0,0913 0334,45.0,M,O,101.0,STREET,102.0,HAND GUN,IC,Invest Cont
8630,BROMONT                      AV,MACLAY,34.2973,-118.4222,11/29/2020 12:00:00 AM,11/29/2020 12:00:00 AM,130.0,19.0,Mission,1918.0,2.0,0344,16.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
6440,600 S  BOYLE                        AV,,34.0386,-118.2201,01/18/2020 12:00:00 AM,01/18/2020 12:00:00 AM,300.0,4.0,Hollenbeck,462.0,1.0,0913 2000 1814 0446 0448 0444 0419 0334 2004,36.0,F,H,221.0,PUBLIC STORAGE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest
2046,600 S  WESTERN                      AV,,34.0655,-118.3114,08/02/2020 12:00:00 AM,07/28/2020 12:00:00 AM,1907.0,20.0,Olympic,2022.0,2.0,1822 0104 0209 0917 0319 0445 0416,27.0,F,K,402.0,MARKET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont
18664,HOOVER,EL SEGUNDO,33.9164,-118.287,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,100.0,18.0,Southeast,1831.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
10324,500 S  SAN PEDRO                    ST,,34.0437,-118.2455,04/23/2020 12:00:00 AM,04/21/2020 12:00:00 AM,2300.0,1.0,Central,156.0,1.0,0344 1822 1609,31.0,M,H,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont
5912,8400    INDEPENDENCE                 AV,,34.2221,-118.5907,09/05/2020 12:00:00 AM,09/05/2020 12:00:00 AM,2120.0,21.0,Topanga,2107.0,2.0,2000 0416 1814,30.0,M,A,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other
822,3200    MOTOR                        AV,,34.031,-118.411,08/20/2020 12:00:00 AM,06/18/2020 12:00:00 AM,1200.0,8.0,West LA,895.0,2.0,1259 0527 1814,14.0,M,W,514.0,GROUP HOME,,,IC,Invest Cont
19012,500 W  97TH                         ST,,33.9482,-118.287,10/15/2020 12:00:00 AM,10/15/2020 12:00:00 AM,1810.0,18.0,Southeast,1821.0,1.0,2000 0913 0302 1814 1402 1407 1419,36.0,M,B,501.0,SINGLE FAMILY DWELLING,109.0,SEMI-AUTOMATIC PISTOL,AO,Adult Other
12346,WILSHIRE,PARK VIEW,34.0597,-118.2795,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,2320.0,2.0,Rampart,245.0,1.0,1822 0342 0355 0417 0416 0446 0906,22.0,M,H,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
4536,2400    VADO                         DR,,34.1132,-118.3821,08/20/2020 12:00:00 AM,08/09/2020 12:00:00 AM,1200.0,6.0,Hollywood,621.0,2.0,1822 0329,55.0,M,W,121.0,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont
13301,5600 W  PICO                         BL,,34.0537,-118.3619,08/09/2020 12:00:00 AM,08/09/2020 12:00:00 AM,1930.0,7.0,Wilshire,753.0,2.0,0329 1300 1402,55.0,M,H,101.0,STREET,,,AO,Adult Other
17895,1600 S  GRAMERCY                     PL,,34.0417,-118.313,06/19/2020 12:00:00 AM,06/19/2020 12:00:00 AM,2220.0,20.0,Olympic,2081.0,2.0,0432 0443 1822 2001 1251,18.0,F,H,519.0,SHORT-TERM VACATION RENTAL,511.0,VERBAL THREAT,AA,Adult Arrest
9173,6300    FALLBROOK                    AV,,34.1883,-118.6274,05/10/2020 12:00:00 AM,05/10/2020 12:00:00 AM,1930.0,21.0,Topanga,2143.0,1.0,0344 1606 1202,69.0,M,O,108.0,PARKING LOT,,,IC,Invest Cont
10931,1600 W  4TH                          ST,,34.0579,-118.2649,07/25/2020 12:00:00 AM,07/25/2020 12:00:00 AM,2200.0,2.0,Rampart,248.0,2.0,0913 2000 1814 1813 0448 0305 0429 2002,50.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
18968,1100    ALAMEDA                      ST,,33.7857,-118.2429,11/02/2020 12:00:00 AM,11/02/2020 12:00:00 AM,800.0,5.0,Harbor,519.0,1.0,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont
6847,1600 S  SAN PEDRO                    ST,,34.0293,-118.2563,11/13/2020 12:00:00 AM,11/10/2020 12:00:00 AM,1400.0,13.0,Newton,1313.0,1.0,0344,0.0,X,X,704.0,ELEMENTARY SCHOOL,,,IC,Invest Cont
11513,3100    WILSHIRE                     BL,,34.0618,-118.2894,12/14/2020 12:00:00 AM,12/14/2020 12:00:00 AM,2150.0,20.0,Olympic,2038.0,1.0,1822 0334 0337 0355 0448 0432 0202,24.0,M,O,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont
13351,15400    TUPPER                       ST,,34.2392,-118.4683,11/24/2020 12:00:00 AM,11/24/2020 12:00:00 AM,2353.0,19.0,Mission,1961.0,2.0,0913 1817 0416,28.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other
4166,1400 N  HIGHLAND                     AV,,34.1006,-118.3417,12/07/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1300.0,6.0,Hollywood,645.0,1.0,0329 0400 0344 0334 0913 2038 0421,37.0,M,B,501.0,SINGLE FAMILY DWELLING,207.0,OTHER KNIFE,AO,Adult Other
5075,7100    ALVERN                       ST,,33.975,-118.3774,03/19/2020 12:00:00 AM,03/18/2020 12:00:00 AM,1700.0,14.0,Pacific,1469.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
5953,6800    HAYWOOD                      ST,,34.2491,-118.2794,11/23/2020 12:00:00 AM,11/21/2020 12:00:00 AM,1200.0,16.0,Foothill,1658.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
16795,8900    RESEDA                       BL,,34.2319,-118.5361,07/25/2020 12:00:00 AM,07/23/2020 12:00:00 AM,1630.0,17.0,Devonshire,1785.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
6314,700    LINCOLN                      BL,,33.9976,-118.467,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,1400.0,14.0,Pacific,1414.0,1.0,0344 1606,50.0,M,H,108.0,PARKING LOT,,,IC,Invest Cont
9760,3900    COCO                         AV,,34.0155,-118.3497,02/11/2020 12:00:00 AM,02/10/2020 12:00:00 AM,1530.0,3.0,Southwest,362.0,2.0,1307 0329,58.0,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont
4065,ISABEL,LOCUST,34.0891,-118.2206,12/24/2020 12:00:00 AM,12/21/2020 12:00:00 AM,500.0,11.0,Northeast,1158.0,1.0,0344 1300 0329 1822 1402,20.0,F,H,101.0,STREET,,,IC,Invest Cont
16240,11600    CHANDLER                     BL,,34.1684,-118.3851,02/17/2020 12:00:00 AM,02/05/2020 12:00:00 AM,500.0,15.0,N Hollywood,1546.0,1.0,0344 0321 1607,51.0,M,W,507.0,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont
7582,22900    VICTORY                      BL,,34.1865,-118.6256,03/03/2020 12:00:00 AM,02/20/2020 12:00:00 AM,1300.0,21.0,Topanga,2143.0,1.0,0344 1822 0352 2032,29.0,M,O,403.0,DRUG STORE,,,IC,Invest Cont
1591,VICTORY                      AV,VESPER                       ST,34.1867,-118.4509,09/11/2020 12:00:00 AM,09/11/2020 12:00:00 AM,915.0,9.0,Van Nuys,923.0,1.0,2002 1414 1420 1822 0344 0325 0945,44.0,M,O,401.0,MINI-MART,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other
9130,10100    MOUNTAIR                     AV,,34.2523,-118.2932,11/24/2020 12:00:00 AM,11/13/2020 12:00:00 AM,815.0,16.0,Foothill,1657.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
14533,9100    MENLO                        AV,,33.9528,-118.2904,10/11/2020 12:00:00 AM,10/10/2020 12:00:00 AM,2300.0,18.0,Southeast,1801.0,1.0,,0.0,,,104.0,DRIVEWAY,,,IC,Invest Cont
11379,800 N  ALAMEDA                      ST,,34.0563,-118.2374,01/19/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1330.0,1.0,Central,119.0,2.0,0416 1822 0910 1202 1268,65.0,M,H,966.0,MTA - GOLD LINE - UNION STATION,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
14416,ROBERTSON                    BL,PICO                         BL,34.0548,-118.3837,01/25/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1100.0,8.0,West LA,849.0,1.0,1202 0344 1822 1420,60.0,M,B,102.0,SIDEWALK,,,IC,Invest Cont
17215,4100 W  60TH                         ST,,33.9853,-118.3464,01/02/2023 12:00:00 AM,01/08/2020 12:00:00 AM,900.0,12.0,77th Street,1231.0,2.0,0100 0922,21.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
7934,2800    HAVEN                        ST,,34.0776,-118.1704,05/02/2020 12:00:00 AM,05/01/2020 12:00:00 AM,2345.0,4.0,Hollenbeck,438.0,2.0,0329 2002 0913,63.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
14590,33RD                         ST,HOOPER                       AV,34.0137,-118.2522,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM,1215.0,13.0,Newton,1325.0,1.0,1300 0416 0371 0906 1822,35.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest
10337,MAIN,4TH,34.0481,-118.2472,07/05/2020 12:00:00 AM,07/04/2020 12:00:00 AM,1400.0,1.0,Central,144.0,1.0,0329 1609 0344 1307 1822 1202,75.0,M,H,101.0,STREET,,,IC,Invest Cont
8946,100 S  CONCORD                      ST,,34.0375,-118.1969,09/29/2020 12:00:00 AM,09/28/2020 12:00:00 AM,2100.0,4.0,Hollenbeck,468.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
13958,103RD                        ST,WILMINGTON                   AV,33.9432,-118.2391,06/30/2020 12:00:00 AM,06/29/2020 12:00:00 AM,1100.0,18.0,Southeast,1837.0,1.0,,0.0,,,101.0,STREET,,,AA,Adult Arrest
2759,300 S  BOYLE                        AV,,34.0454,-118.2198,05/05/2020 12:00:00 AM,05/05/2020 12:00:00 AM,810.0,4.0,Hollenbeck,454.0,1.0,0342 1309 0334 0302 0326 1822 0906,38.0,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont
9040,5700    FORTUNA                      ST,,33.9912,-118.2456,01/24/2020 12:00:00 AM,01/24/2020 12:00:00 AM,1820.0,13.0,Newton,1377.0,1.0,0416 0342 0417 0329 0311 0906 1822 0371,20.0,M,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont
14625,4900    CAMPO                        RD,,34.1573,-118.5994,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,830.0,21.0,Topanga,2187.0,2.0,2000 1243 0356,40.0,F,W,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other
9222,18100    NORDHOFF                     ST,,34.234,-118.5375,09/10/2020 12:00:00 AM,09/10/2020 12:00:00 AM,100.0,17.0,Devonshire,1785.0,1.0,0334 1822 1300 1251 0352 0355 0302,20.0,M,W,501.0,SINGLE FAMILY DWELLING,102.0,HAND GUN,AA,Adult Arrest
9147,1900 N  SAN FERNANDO                 RD,,34.1003,-118.2355,05/07/2020 12:00:00 AM,05/01/2020 12:00:00 AM,1430.0,11.0,Northeast,1157.0,1.0,1202 1608 0344 1606,68.0,F,H,109.0,PARK/PLAYGROUND,,,IC,Invest Cont
8173,8700    SUNLAND                      BL,,34.2277,-118.3661,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1130.0,16.0,Foothill,1676.0,2.0,2000 1501 2004,28.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
13750,17900    MARTHA                       ST,,34.1731,-118.5259,10/18/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1140.0,10.0,West Valley,1045.0,1.0,0344 1300 1822 0394 1420 0209,25.0,F,W,119.0,"PORCH, RESIDENTIAL",,,IC,Invest Cont
11991,2000 W  64TH                         ST,,33.9814,-118.3158,11/24/2021 12:00:00 AM,07/26/2020 12:00:00 AM,1045.0,12.0,77th Street,1243.0,2.0,0922,24.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
4609,HYANS,OCCIDENTAL,34.0736,-118.2799,12/19/2020 12:00:00 AM,12/19/2020 12:00:00 AM,1900.0,2.0,Rampart,231.0,2.0,0913 2038 1814,25.0,M,H,101.0,STREET,,,AO,Adult Other
17702,4400    BELLINGHAM                   AV,,34.1504,-118.3987,11/14/2020 12:00:00 AM,11/14/2020 12:00:00 AM,1230.0,15.0,N Hollywood,1562.0,1.0,0344 0352 1609 0382 1309 0321 1420,48.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
12277,700 S  MAIN                         ST,,34.0437,-118.2518,10/13/2020 12:00:00 AM,10/12/2020 12:00:00 AM,1430.0,1.0,Central,174.0,1.0,1822 0344,0.0,M,O,118.0,CONSTRUCTION SITE,,,IC,Invest Cont
13966,900 E  113TH                        ST,,33.9319,-118.2556,10/30/2020 12:00:00 AM,08/01/2020 12:00:00 AM,1200.0,18.0,Southeast,1844.0,2.0,0701 1822 0344 0940,59.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
4365,8500    ROBERT                       AV,,34.2243,-118.3696,08/11/2020 12:00:00 AM,08/10/2020 12:00:00 AM,1930.0,16.0,Foothill,1675.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
9138,1100 W  80TH                         ST,,33.9665,-118.2945,05/03/2020 12:00:00 AM,05/03/2020 12:00:00 AM,300.0,12.0,77th Street,1265.0,2.0,0603 0329,54.0,M,B,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest
15682,600 N  HAYWORTH                     AV,,34.0816,-118.3627,10/29/2020 12:00:00 AM,10/28/2020 12:00:00 AM,2100.0,7.0,Wilshire,701.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
459,6600    LAUREL CANYON                BL,,34.2003,-118.4002,02/27/2020 12:00:00 AM,02/26/2020 12:00:00 AM,1030.0,15.0,N Hollywood,1503.0,1.0,1822 0344 0346,80.0,M,H,242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",,,IC,Invest Cont
12204,25400    FRAMPTON                     AV,,33.7933,-118.3,05/25/2020 12:00:00 AM,05/24/2020 12:00:00 AM,2355.0,5.0,Harbor,513.0,2.0,0329 1300,48.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont
