,Crime_Category
3582,Crimes against Public Order
3412,Property Crimes
12472,Property Crimes
2131,Property Crimes
104,Crimes against Public Order
7490,Violent Crimes
1780,Fraud and White-Collar Crimes
19677,Violent Crimes
12786,Property Crimes
2919,Violent Crimes
14514,Violent Crimes
15970,Property Crimes
6359,Violent Crimes
12365,Violent Crimes
17420,Property Crimes
8321,Fraud and White-Collar Crimes
14669,Property Crimes
4872,Violent Crimes
12811,Property Crimes
5034,Property Crimes
17020,Crimes against Public Order
2804,Property Crimes
9215,Property Crimes
4812,Violent Crimes
10730,Property Crimes
9180,Property Crimes
17412,Violent Crimes
13170,Fraud and White-Collar Crimes
13237,Property Crimes
12675,Property Crimes
10490,Violent Crimes
10937,Crimes against Public Order
7496,Violent Crimes
11332,Property Crimes
15818,Property Crimes
11292,Violent Crimes
17144,Property Crimes
15046,Property Crimes
17705,Property Crimes
15736,Violent Crimes
16318,Violent Crimes
10808,Property Crimes
806,Fraud and White-Collar Crimes
17927,Property Crimes
1280,Property Crimes
14703,Violent Crimes
12553,Violent Crimes
3173,Property Crimes
9862,Property Crimes
11424,Property Crimes
3689,Violent Crimes
12488,Property Crimes
5673,Fraud and White-Collar Crimes
1629,Fraud and White-Collar Crimes
19950,Violent Crimes
4678,Property Crimes
8487,Property Crimes
6458,Property Crimes
9235,Property Crimes
10113,Violent Crimes
6864,Crimes against Public Order
10535,Property Crimes
14961,Crimes against Public Order
9966,Property Crimes
12322,Fraud and White-Collar Crimes
3804,Fraud and White-Collar Crimes
3348,Crimes against Persons
13897,Violent Crimes
3987,Violent Crimes
17030,Property Crimes
9731,Property Crimes
9823,Property Crimes
13736,Property Crimes
1136,Property Crimes
12115,Property Crimes
3313,Property Crimes
13023,Property Crimes
19889,Property Crimes
8520,Violent Crimes
11722,Fraud and White-Collar Crimes
19872,Property Crimes
8910,Crimes against Public Order
8770,Property Crimes
10119,Crimes against Public Order
3966,Crimes against Public Order
11813,Property Crimes
17947,Property Crimes
9556,Other Crimes
18418,Violent Crimes
14160,Violent Crimes
8433,Property Crimes
7968,Property Crimes
3894,Property Crimes
9151,Property Crimes
5368,Violent Crimes
7325,Property Crimes
10604,Fraud and White-Collar Crimes
12649,Property Crimes
14144,Property Crimes
13993,Property Crimes
15087,Violent Crimes
7973,Violent Crimes
8616,Property Crimes
18523,Violent Crimes
1415,Property Crimes
8255,Property Crimes
17600,Property Crimes
13685,Fraud and White-Collar Crimes
16962,Property Crimes
702,Violent Crimes
6275,Property Crimes
9791,Violent Crimes
13951,Crimes against Public Order
16208,Violent Crimes
18921,Violent Crimes
3317,Violent Crimes
7752,Property Crimes
260,Crimes against Public Order
17777,Property Crimes
6312,Violent Crimes
16561,Violent Crimes
17570,Violent Crimes
6874,Property Crimes
9985,Crimes against Public Order
6415,Property Crimes
1011,Property Crimes
15131,Property Crimes
14393,Property Crimes
18979,Crimes against Persons
8105,Crimes against Public Order
9893,Property Crimes
8834,Property Crimes
17717,Crimes against Public Order
17141,Property Crimes
6409,Violent Crimes
6762,Violent Crimes
5424,Violent Crimes
8134,Property Crimes
19729,Property Crimes
13878,Property Crimes
18500,Property Crimes
10854,Property Crimes
14895,Property Crimes
6511,Property Crimes
3655,Property Crimes
6757,Property Crimes
9603,Property Crimes
3201,Violent Crimes
15008,Violent Crimes
2953,Fraud and White-Collar Crimes
15513,Property Crimes
671,Property Crimes
1977,Property Crimes
2402,Property Crimes
4623,Property Crimes
14219,Crimes against Public Order
12202,Property Crimes
5646,Violent Crimes
1767,Property Crimes
6186,Property Crimes
724,Property Crimes
5657,Property Crimes
1175,Violent Crimes
5098,Violent Crimes
11713,Crimes against Public Order
13054,Property Crimes
235,Violent Crimes
11269,Violent Crimes
7539,Property Crimes
15436,Property Crimes
16872,Property Crimes
10048,Property Crimes
863,Property Crimes
11960,Other Crimes
5726,Fraud and White-Collar Crimes
7676,Property Crimes
5186,Property Crimes
4681,Violent Crimes
17377,Property Crimes
16848,Property Crimes
1260,Property Crimes
6442,Violent Crimes
19775,Other Crimes
4778,Violent Crimes
18846,Violent Crimes
10911,Violent Crimes
19837,Violent Crimes
15898,Violent Crimes
14700,Property Crimes
7406,Violent Crimes
17000,Violent Crimes
18284,Property Crimes
16761,Property Crimes
10951,Violent Crimes
8023,Property Crimes
2219,Crimes against Public Order
12015,Property Crimes
12735,Property Crimes
10848,Property Crimes
15001,Property Crimes
1895,Violent Crimes
6146,Violent Crimes
17169,Property Crimes
10997,Property Crimes
10205,Property Crimes
17036,Property Crimes
12083,Property Crimes
12611,Property Crimes
17270,Property Crimes
3721,Property Crimes
11793,Fraud and White-Collar Crimes
245,Property Crimes
4745,Property Crimes
9720,Property Crimes
7577,Violent Crimes
12220,Property Crimes
2950,Property Crimes
10886,Crimes against Public Order
10541,Property Crimes
12990,Violent Crimes
19407,Property Crimes
8827,Crimes against Public Order
4887,Violent Crimes
12716,Crimes against Persons
15081,Violent Crimes
15909,Property Crimes
18974,Violent Crimes
563,Violent Crimes
19988,Property Crimes
12378,Fraud and White-Collar Crimes
5301,Property Crimes
12505,Property Crimes
37,Property Crimes
11993,Violent Crimes
13389,Fraud and White-Collar Crimes
3792,Violent Crimes
1853,Crimes against Public Order
651,Property Crimes
8153,Crimes against Public Order
7416,Property Crimes
3860,Property Crimes
13513,Crimes against Public Order
13606,Violent Crimes
5188,Violent Crimes
4702,Crimes against Public Order
15,Property Crimes
17043,Property Crimes
7092,Violent Crimes
7685,Property Crimes
12521,Property Crimes
5985,Property Crimes
6731,Property Crimes
6565,Violent Crimes
2486,Property Crimes
18969,Violent Crimes
19403,Property Crimes
15470,Property Crimes
17530,Property Crimes
12755,Property Crimes
7065,Property Crimes
11808,Violent Crimes
11505,Property Crimes
4934,Property Crimes
19896,Property Crimes
4825,Property Crimes
17190,Fraud and White-Collar Crimes
19841,Property Crimes
1894,Violent Crimes
977,Other Crimes
8079,Violent Crimes
13696,Property Crimes
17592,Fraud and White-Collar Crimes
3068,Property Crimes
13537,Property Crimes
6580,Crimes against Public Order
1616,Property Crimes
19692,Property Crimes
7819,Property Crimes
19015,Property Crimes
5404,Property Crimes
16897,Violent Crimes
16553,Property Crimes
10312,Property Crimes
13906,Property Crimes
5185,Property Crimes
10430,Fraud and White-Collar Crimes
12323,Violent Crimes
10476,Property Crimes
8859,Violent Crimes
15545,Violent Crimes
1500,Violent Crimes
18498,Violent Crimes
5615,Violent Crimes
9279,Violent Crimes
9951,Violent Crimes
535,Property Crimes
1520,Property Crimes
5281,Property Crimes
16776,Property Crimes
381,Property Crimes
861,Property Crimes
867,Crimes against Public Order
4510,Property Crimes
6663,Property Crimes
9066,Property Crimes
18026,Property Crimes
7933,Property Crimes
17077,Property Crimes
1357,Violent Crimes
13355,Property Crimes
6982,Crimes against Public Order
11191,Violent Crimes
1019,Violent Crimes
1598,Violent Crimes
17969,Property Crimes
9109,Crimes against Public Order
7138,Property Crimes
13367,Violent Crimes
4885,Violent Crimes
1554,Property Crimes
9482,Violent Crimes
7017,Property Crimes
1009,Property Crimes
18221,Property Crimes
5658,Property Crimes
9668,Fraud and White-Collar Crimes
17611,Property Crimes
10846,Crimes against Public Order
12514,Property Crimes
11868,Violent Crimes
16975,Property Crimes
19758,Property Crimes
12077,Crimes against Public Order
15735,Violent Crimes
9296,Property Crimes
19335,Property Crimes
8707,Property Crimes
12029,Violent Crimes
17214,Property Crimes
2699,Crimes against Public Order
19770,Violent Crimes
6235,Fraud and White-Collar Crimes
16700,Property Crimes
858,Property Crimes
11425,Property Crimes
5168,Crimes against Public Order
11651,Property Crimes
5101,Fraud and White-Collar Crimes
15825,Property Crimes
14091,Violent Crimes
13789,Violent Crimes
10450,Violent Crimes
19293,Fraud and White-Collar Crimes
9932,Violent Crimes
3873,Crimes against Persons
17392,Property Crimes
16313,Crimes against Persons
16337,Violent Crimes
5670,Crimes against Public Order
12440,Violent Crimes
4755,Property Crimes
8505,Property Crimes
327,Property Crimes
3311,Property Crimes
9446,Property Crimes
4843,Violent Crimes
3302,Violent Crimes
14511,Fraud and White-Collar Crimes
5237,Property Crimes
1645,Crimes against Public Order
9513,Property Crimes
7153,Property Crimes
4257,Crimes against Persons
16204,Property Crimes
15263,Property Crimes
10343,Property Crimes
7533,Property Crimes
3337,Fraud and White-Collar Crimes
11017,Property Crimes
5167,Property Crimes
13210,Property Crimes
8514,Crimes against Persons
14466,Other Crimes
6955,Property Crimes
14225,Violent Crimes
19093,Property Crimes
18341,Fraud and White-Collar Crimes
4098,Property Crimes
16110,Property Crimes
32,Violent Crimes
6860,Property Crimes
4343,Other Crimes
18269,Violent Crimes
9749,Violent Crimes
542,Property Crimes
10609,Property Crimes
11684,Violent Crimes
10477,Property Crimes
7486,Violent Crimes
16020,Property Crimes
13812,Violent Crimes
11967,Property Crimes
13498,Property Crimes
2563,Property Crimes
16566,Property Crimes
18055,Property Crimes
1055,Property Crimes
3010,Violent Crimes
13503,Violent Crimes
5100,Violent Crimes
4034,Crimes against Public Order
7808,Violent Crimes
2874,Fraud and White-Collar Crimes
13799,Violent Crimes
17337,Property Crimes
18443,Property Crimes
5703,Violent Crimes
6188,Violent Crimes
15535,Violent Crimes
5724,Violent Crimes
4545,Crimes against Public Order
7148,Violent Crimes
3667,Property Crimes
11977,Property Crimes
4514,Violent Crimes
10632,Property Crimes
12535,Property Crimes
19782,Violent Crimes
5084,Property Crimes
11224,Crimes against Public Order
7571,Fraud and White-Collar Crimes
2404,Violent Crimes
19621,Fraud and White-Collar Crimes
12511,Violent Crimes
11109,Property Crimes
13861,Property Crimes
11123,Property Crimes
15139,Violent Crimes
19522,Violent Crimes
18240,Violent Crimes
17529,Property Crimes
19325,Property Crimes
12827,Crimes against Public Order
1731,Property Crimes
4283,Fraud and White-Collar Crimes
19742,Property Crimes
8768,Property Crimes
12653,Property Crimes
10425,Property Crimes
18998,Property Crimes
18739,Property Crimes
1250,Property Crimes
17340,Property Crimes
5169,Violent Crimes
12417,Property Crimes
15930,Property Crimes
12956,Crimes against Public Order
6524,Property Crimes
5012,Property Crimes
14807,Property Crimes
10767,Violent Crimes
19184,Property Crimes
13132,Property Crimes
9105,Violent Crimes
11724,Property Crimes
14898,Property Crimes
5386,Violent Crimes
1002,Property Crimes
18657,Property Crimes
4152,Property Crimes
18202,Property Crimes
13067,Property Crimes
3954,Property Crimes
2045,Property Crimes
11136,Violent Crimes
14399,Property Crimes
10481,Violent Crimes
9887,Violent Crimes
1821,Property Crimes
17654,Property Crimes
18087,Crimes against Public Order
15330,Violent Crimes
1703,Crimes against Public Order
10005,Violent Crimes
10278,Violent Crimes
4396,Property Crimes
19077,Violent Crimes
5208,Property Crimes
17824,Violent Crimes
12818,Property Crimes
346,Property Crimes
17959,Property Crimes
8186,Property Crimes
762,Property Crimes
18929,Violent Crimes
14025,Violent Crimes
11634,Property Crimes
8329,Property Crimes
16287,Property Crimes
8757,Property Crimes
8177,Property Crimes
11095,Property Crimes
13566,Property Crimes
1131,Fraud and White-Collar Crimes
18721,Violent Crimes
8938,Property Crimes
5757,Property Crimes
12911,Property Crimes
4509,Violent Crimes
4891,Property Crimes
14114,Property Crimes
17380,Property Crimes
6647,Property Crimes
3227,Property Crimes
19164,Property Crimes
3628,Property Crimes
4644,Property Crimes
5893,Property Crimes
38,Violent Crimes
16463,Property Crimes
1849,Property Crimes
1356,Violent Crimes
1594,Property Crimes
6371,Property Crimes
7634,Violent Crimes
2817,Property Crimes
6454,Property Crimes
17278,Violent Crimes
7867,Violent Crimes
18842,Property Crimes
13529,Violent Crimes
18010,Violent Crimes
12382,Property Crimes
2415,Violent Crimes
15431,Property Crimes
5137,Property Crimes
5148,Property Crimes
6498,Property Crimes
11682,Property Crimes
6561,Crimes against Public Order
12927,Fraud and White-Collar Crimes
1477,Violent Crimes
17751,Property Crimes
17857,Property Crimes
12549,Property Crimes
9265,Crimes against Public Order
9481,Property Crimes
9228,Property Crimes
19030,Property Crimes
2564,Violent Crimes
5324,Property Crimes
73,Property Crimes
3275,Property Crimes
6046,Property Crimes
942,Property Crimes
4533,Violent Crimes
14014,Property Crimes
4217,Property Crimes
14915,Property Crimes
14639,Violent Crimes
16771,Property Crimes
9955,Property Crimes
16451,Fraud and White-Collar Crimes
11062,Crimes against Public Order
2630,Crimes against Public Order
10215,Property Crimes
12831,Crimes against Public Order
514,Property Crimes
1798,Crimes against Public Order
4988,Property Crimes
15514,Property Crimes
18990,Property Crimes
1764,Property Crimes
4848,Property Crimes
6553,Violent Crimes
4440,Violent Crimes
7865,Property Crimes
16299,Fraud and White-Collar Crimes
14648,Violent Crimes
12113,Crimes against Public Order
11291,Property Crimes
6622,Property Crimes
18940,Crimes against Public Order
17987,Fraud and White-Collar Crimes
14509,Fraud and White-Collar Crimes
6001,Property Crimes
18235,Violent Crimes
11779,Property Crimes
12476,Fraud and White-Collar Crimes
18757,Crimes against Public Order
10274,Property Crimes
12172,Fraud and White-Collar Crimes
7957,Property Crimes
6918,Crimes against Public Order
14301,Property Crimes
11345,Violent Crimes
5068,Property Crimes
3250,Property Crimes
7556,Property Crimes
2167,Fraud and White-Collar Crimes
1706,Property Crimes
14503,Property Crimes
15324,Property Crimes
15240,Property Crimes
6853,Fraud and White-Collar Crimes
2671,Violent Crimes
8781,Violent Crimes
11343,Property Crimes
15234,Property Crimes
18366,Property Crimes
17887,Violent Crimes
16499,Violent Crimes
12107,Property Crimes
7340,Crimes against Public Order
2465,Property Crimes
5419,Property Crimes
18855,Violent Crimes
17747,Fraud and White-Collar Crimes
11487,Crimes against Public Order
13768,Property Crimes
16825,Crimes against Public Order
10992,Violent Crimes
17486,Property Crimes
2625,Property Crimes
16148,Violent Crimes
9357,Crimes against Public Order
15450,Crimes against Public Order
6022,Property Crimes
19444,Property Crimes
4282,Property Crimes
14498,Property Crimes
11936,Violent Crimes
19061,Property Crimes
19180,Violent Crimes
7125,Property Crimes
2220,Property Crimes
13916,Fraud and White-Collar Crimes
14993,Violent Crimes
14622,Property Crimes
17894,Property Crimes
4847,Property Crimes
19203,Violent Crimes
18492,Property Crimes
11035,Violent Crimes
618,Property Crimes
3590,Property Crimes
13558,Crimes against Public Order
9607,Violent Crimes
12503,Property Crimes
4478,Property Crimes
9425,Property Crimes
18985,Violent Crimes
9464,Property Crimes
12732,Crimes against Public Order
18555,Property Crimes
9763,Property Crimes
7467,Fraud and White-Collar Crimes
2818,Property Crimes
18946,Violent Crimes
2089,Property Crimes
16198,Property Crimes
2963,Property Crimes
4653,Crimes against Public Order
10870,Property Crimes
13254,Property Crimes
19802,Crimes against Public Order
15282,Property Crimes
3055,Crimes against Public Order
5767,Property Crimes
15440,Property Crimes
2087,Crimes against Public Order
7462,Property Crimes
3230,Property Crimes
5233,Property Crimes
8776,Property Crimes
11414,Property Crimes
16516,Property Crimes
6240,Property Crimes
17476,Property Crimes
15424,Violent Crimes
12178,Property Crimes
8093,Property Crimes
6841,Violent Crimes
8066,Fraud and White-Collar Crimes
16269,Property Crimes
11278,Violent Crimes
1728,Property Crimes
2845,Property Crimes
16028,Property Crimes
12812,Violent Crimes
13326,Violent Crimes
2207,Crimes against Public Order
19252,Property Crimes
4575,Property Crimes
9792,Property Crimes
10397,Violent Crimes
17394,Violent Crimes
11387,Property Crimes
8749,Property Crimes
2062,Property Crimes
17885,Property Crimes
19619,Violent Crimes
18508,Property Crimes
9714,Property Crimes
14701,Property Crimes
2909,Crimes against Public Order
12871,Property Crimes
13436,Property Crimes
10393,Crimes against Public Order
9258,Property Crimes
9759,Crimes against Public Order
3570,Property Crimes
17247,Property Crimes
440,Property Crimes
15457,Property Crimes
9907,Property Crimes
1307,Violent Crimes
1475,Violent Crimes
7524,Fraud and White-Collar Crimes
4201,Property Crimes
482,Property Crimes
12546,Violent Crimes
2284,Property Crimes
15831,Property Crimes
8324,Crimes against Public Order
2210,Violent Crimes
15745,Violent Crimes
1320,Violent Crimes
13424,Violent Crimes
5655,Crimes against Public Order
14012,Property Crimes
17988,Property Crimes
3009,Property Crimes
19879,Violent Crimes
2887,Property Crimes
16320,Fraud and White-Collar Crimes
5651,Property Crimes
7335,Other Crimes
6346,Fraud and White-Collar Crimes
11465,Property Crimes
2432,Fraud and White-Collar Crimes
6880,Property Crimes
14883,Violent Crimes
15113,Violent Crimes
8515,Violent Crimes
890,Violent Crimes
17511,Fraud and White-Collar Crimes
2902,Crimes against Public Order
16613,Fraud and White-Collar Crimes
15518,Property Crimes
18894,Property Crimes
15949,Property Crimes
17376,Property Crimes
8899,Violent Crimes
4037,Property Crimes
2838,Property Crimes
10796,Property Crimes
12367,Property Crimes
7877,Crimes against Public Order
4422,Fraud and White-Collar Crimes
17107,Violent Crimes
3101,Property Crimes
16656,Property Crimes
18923,Property Crimes
5473,Property Crimes
15059,Violent Crimes
13188,Fraud and White-Collar Crimes
16262,Crimes against Persons
8350,Property Crimes
17760,Property Crimes
18451,Violent Crimes
874,Property Crimes
19932,Property Crimes
6147,Violent Crimes
16590,Property Crimes
12540,Property Crimes
16596,Property Crimes
11558,Property Crimes
16071,Property Crimes
4097,Crimes against Public Order
11716,Violent Crimes
8919,Property Crimes
13756,Property Crimes
9473,Property Crimes
10558,Property Crimes
7111,Fraud and White-Collar Crimes
1779,Property Crimes
18734,Violent Crimes
19309,Property Crimes
5361,Other Crimes
16591,Violent Crimes
5363,Property Crimes
1275,Property Crimes
8044,Property Crimes
10815,Property Crimes
4147,Property Crimes
18773,Violent Crimes
12127,Property Crimes
14857,Property Crimes
15876,Violent Crimes
4243,Property Crimes
2800,Violent Crimes
11061,Property Crimes
12309,Property Crimes
14960,Property Crimes
1033,Property Crimes
11446,Property Crimes
8709,Violent Crimes
16121,Crimes against Public Order
285,Violent Crimes
12321,Violent Crimes
4888,Property Crimes
17063,Property Crimes
4666,Violent Crimes
16191,Property Crimes
18246,Fraud and White-Collar Crimes
12520,Crimes against Public Order
14981,Other Crimes
21,Property Crimes
17624,Property Crimes
2481,Property Crimes
17555,Property Crimes
14650,Property Crimes
18973,Property Crimes
13672,Property Crimes
18062,Property Crimes
3514,Fraud and White-Collar Crimes
15147,Crimes against Public Order
11969,Violent Crimes
5423,Property Crimes
11484,Property Crimes
2556,Violent Crimes
5736,Other Crimes
3304,Property Crimes
6831,Fraud and White-Collar Crimes
9693,Property Crimes
2064,Violent Crimes
706,Violent Crimes
5294,Property Crimes
10940,Fraud and White-Collar Crimes
7461,Violent Crimes
10611,Property Crimes
879,Property Crimes
10124,Violent Crimes
1551,Violent Crimes
9833,Violent Crimes
11078,Property Crimes
12679,Property Crimes
18649,Property Crimes
9722,Violent Crimes
1361,Property Crimes
4276,Property Crimes
17241,Property Crimes
3858,Crimes against Public Order
2450,Property Crimes
14901,Violent Crimes
8114,Property Crimes
18051,Property Crimes
19821,Property Crimes
13815,Property Crimes
10251,Property Crimes
9751,Property Crimes
15313,Property Crimes
19201,Property Crimes
8676,Property Crimes
7213,Property Crimes
2527,Property Crimes
9980,Violent Crimes
9342,Fraud and White-Collar Crimes
12671,Violent Crimes
19792,Property Crimes
15293,Property Crimes
8712,Violent Crimes
17943,Property Crimes
11006,Property Crimes
10630,Crimes against Persons
8425,Crimes against Public Order
11712,Property Crimes
16030,Crimes against Public Order
6194,Property Crimes
726,Violent Crimes
5243,Property Crimes
11045,Violent Crimes
8612,Violent Crimes
9828,Property Crimes
8161,Property Crimes
11790,Property Crimes
1812,Property Crimes
11372,Property Crimes
16714,Property Crimes
2259,Property Crimes
10586,Property Crimes
7615,Property Crimes
5755,Property Crimes
15265,Violent Crimes
5140,Property Crimes
10605,Property Crimes
19917,Violent Crimes
16380,Fraud and White-Collar Crimes
7698,Violent Crimes
8758,Property Crimes
1644,Property Crimes
5106,Property Crimes
11285,Fraud and White-Collar Crimes
8559,Crimes against Persons
2581,Property Crimes
4252,Fraud and White-Collar Crimes
15078,Property Crimes
1915,Property Crimes
9414,Property Crimes
11571,Violent Crimes
16479,Property Crimes
1094,Violent Crimes
4025,Property Crimes
19170,Property Crimes
6068,Violent Crimes
16436,Crimes against Public Order
15380,Property Crimes
14376,Crimes against Public Order
8235,Violent Crimes
1287,Property Crimes
19470,Violent Crimes
5969,Violent Crimes
6310,Property Crimes
19980,Property Crimes
6131,Crimes against Public Order
14149,Violent Crimes
11860,Property Crimes
3851,Property Crimes
19098,Violent Crimes
10120,Violent Crimes
16036,Property Crimes
15987,Violent Crimes
2807,Property Crimes
11257,Property Crimes
8410,Property Crimes
5323,Violent Crimes
19023,Property Crimes
4501,Property Crimes
11941,Other Crimes
6686,Property Crimes
11226,Property Crimes
3642,Property Crimes
3303,Fraud and White-Collar Crimes
5730,Property Crimes
1015,Fraud and White-Collar Crimes
17892,Property Crimes
2435,Property Crimes
18561,Violent Crimes
8434,Property Crimes
18060,Violent Crimes
7001,Property Crimes
18731,Property Crimes
4758,Property Crimes
11266,Violent Crimes
16238,Property Crimes
15328,Property Crimes
12915,Violent Crimes
18312,Property Crimes
18467,Property Crimes
7151,Property Crimes
11534,Property Crimes
13560,Property Crimes
19146,Crimes against Public Order
8922,Property Crimes
342,Fraud and White-Collar Crimes
11094,Violent Crimes
11842,Property Crimes
10826,Crimes against Public Order
16800,Violent Crimes
15281,Crimes against Persons
4226,Property Crimes
10732,Crimes against Public Order
5597,Violent Crimes
784,Violent Crimes
19723,Property Crimes
19904,Property Crimes
10929,Crimes against Public Order
9651,Property Crimes
13380,Property Crimes
7563,Property Crimes
963,Property Crimes
4069,Property Crimes
10779,Violent Crimes
11396,Property Crimes
16777,Property Crimes
3292,Crimes against Public Order
15914,Violent Crimes
9689,Property Crimes
2619,Crimes against Public Order
11023,Property Crimes
2412,Crimes against Persons
9365,Crimes against Public Order
13011,Property Crimes
3285,Property Crimes
5282,Property Crimes
7891,Property Crimes
6490,Property Crimes
19251,Property Crimes
14145,Fraud and White-Collar Crimes
8607,Property Crimes
10668,Violent Crimes
3051,Property Crimes
361,Property Crimes
5883,Property Crimes
413,Crimes against Public Order
13678,Fraud and White-Collar Crimes
254,Property Crimes
2214,Crimes against Public Order
1738,Property Crimes
17179,Property Crimes
14304,Property Crimes
9152,Property Crimes
4920,Property Crimes
5476,Property Crimes
7082,Violent Crimes
19448,Violent Crimes
18017,Violent Crimes
12155,Violent Crimes
18030,Property Crimes
18468,Property Crimes
10289,Crimes against Public Order
5397,Property Crimes
10344,Property Crimes
10798,Violent Crimes
15116,Violent Crimes
13472,Fraud and White-Collar Crimes
